Args:  Namespace(num_episodes=10000, level=1, gamma=1, alpha=0.1, mode='by_playthrough', num_trials=25, output_dir='./TrainedLevels')
Starting trial 0...
Starting trial 1...
Starting trial 2...
Starting trial 3...
Starting trial 4...
Starting trial 5...
Starting trial 6...
Starting trial 7...
Starting trial 8...
Starting trial 9...
Starting trial 10...
Starting trial 11...
Starting trial 12...
Starting trial 13...
Starting trial 14...
Starting trial 15...
Starting trial 16...
Starting trial 17...
Starting trial 18...
Starting trial 19...
Starting trial 20...
Starting trial 21...
Starting trial 22...
Starting trial 23...
Starting trial 24...
-------------------- Training Stats --------------------
Action: Right | Done: False | Reward: -1
Action: Right | Done: False | Reward: -2
Action: Down | Done: False | Reward: -3
Action: Right | Done: False | Reward: -4
Action: Right | Done: False | Reward: -5
Action: Right | Done: False | Reward: -6
Action: Down | Done: True | Reward: -6
Action: Up | Done: False | Reward: -7
Action: Right | Done: False | Reward: -8
Action: Down | Done: False | Reward: -9
Action: Right | Done: False | Reward: -10
Action: Right | Done: False | Reward: -11
Action: Right | Done: False | Reward: -12
Action: Right | Done: False | Reward: -13
Action: Up | Done: False | Reward: -14
Action: Up | Done: False | Reward: -15
Action: Down | Done: False | Reward: -16
Action: Right | Done: False | Reward: -17
Action: Down | Done: False | Reward: -18
Action: Right | Done: False | Reward: -19
Action: Right | Done: False | Reward: -20
Action: Up | Done: False | Reward: -21
Action: Right | Done: False | Reward: -22
Action: Up | Done: True | Reward: -22
Action: Right | Done: False | Reward: -23
Action: Up | Done: False | Reward: -24
Action: Right | Done: False | Reward: -25
Action: Right | Done: False | Reward: -26
Action: Right | Done: False | Reward: -27
Action: Up | Done: False | Reward: -28
Action: Left | Done: False | Reward: -29
Action: Down | Done: False | Reward: -30
Action: Right | Done: False | Reward: -31
Action: Up | Done: False | Reward: -32
Action: Up | Done: False | Reward: -33
Action: Right | Done: False | Reward: -34
Action: Right | Done: False | Reward: -35
Action: Right | Done: False | Reward: -36
Action: Down | Done: False | Reward: -37
Action: Down | Done: False | Reward: -38
Action: Down | Done: False | Reward: -39
Action: Right | Done: False | Reward: -40
Action: Up | Done: True | Reward: -40
Action: Up | Done: False | Reward: -41
Action: Left | Done: False | Reward: -42
Action: Up | Done: False | Reward: -43
Action: Right | Done: False | Reward: -44
Action: Right | Done: False | Reward: -45
Action: Up | Done: False | Reward: -46
Action: Right | Done: False | Reward: -47
Action: Right | Done: False | Reward: -48
Action: Right | Done: False | Reward: -49
Action: Right | Done: False | Reward: -50
Action: Right | Done: False | Reward: -51
Action: Right | Done: False | Reward: -52
Action: Down | Done: False | Reward: -53
Action: Right | Done: False | Reward: -54
Action: Down | Done: False | Reward: -55
Action: Down | Done: False | Reward: -56
Action: Down | Done: False | Reward: -57
Action: Down | Done: False | Reward: -58
Action: Down | Done: False | Reward: -59
Action: Right | Done: False | Reward: -60
Action: Up | Done: False | Reward: -61
Action: Left | Done: False | Reward: -62
Action: Left | Done: False | Reward: -63
Action: Left | Done: False | Reward: -64
Action: Left | Done: False | Reward: -65
Action: Left | Done: False | Reward: -66
Action: Left | Done: False | Reward: -67
Action: Down | Done: True | Reward: -67
Action: Left | Done: False | Reward: -68
Action: Left | Done: False | Reward: -69
Action: Left | Done: False | Reward: -70
Action: Right | Done: False | Reward: -71
Action: Left | Done: False | Reward: -72
Action: Left | Done: False | Reward: -73
Action: Left | Done: False | Reward: -74
Action: Left | Done: False | Reward: -75
Action: Left | Done: False | Reward: -76
Action: Down | Done: False | Reward: -77
Action: Right | Done: False | Reward: -78
Action: Down | Done: False | Reward: -79
Action: Down | Done: False | Reward: -80
Action: Right | Done: False | Reward: -81
Action: Right | Done: False | Reward: -82
Action: Right | Done: False | Reward: -83
Action: Right | Done: False | Reward: -84
Action: Down | Done: False | Reward: -85
Action: Right | Done: False | Reward: -86
Action: Right | Done: False | Reward: -87
Action: Right | Done: False | Reward: -88
Action: Right | Done: False | Reward: -89
Action: Left | Done: False | Reward: -90
Action: Left | Done: False | Reward: -91
